number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135,Histogram 220,Histogram 221,Histogram 222,Histogram 223,Histogram 224,Histogram 225,Histogram 226,Histogram 227,Histogram 228,Histogram 229,Histogram 230,Histogram 231,Histogram 232,Histogram 233,Histogram 234,Histogram 235,Histogram 236,Histogram 237,Histogram 238,Histogram 239,Histogram 240,Histogram 241,Histogram 242,Histogram 243,Histogram 244,Histogram 245,Histogram 246,Histogram 247,Histogram 248,Histogram 249,Histogram 250,Histogram 251,Histogram 252,Histogram 253,Histogram 254
1,CAMERA 4_OZ/good/GOOD20230722185340798425.jpg,good,0,0.046999999998661224,3.4464644735228878,5.042383904797569,4.043940616821309,5.002077306165953,0.11019761508732304,0.10527078153879338,0.10851116937921393,0.1051775629831784,0.4862489560602624,0.4344088056423826,0.46933923271381445,0.4339346265223724,119.4071395377157,280.3983553026934,199.35751705918204,273.8070873375465,0.991810068295874,0.9807389832213325,0.9863451061898187,0.9811917499719579,1202.0,1164.0,1060.0,1185.0,1403.0,1749.0,1955.0,1915.0,1750.0,1680.0,2059.0,2460.0,2744.0,2860.0,2485.0,1987.0,2005.0,2888.0,3469.0,3542.0,3508.0,2930.0,2074.0,2442.0,3562.0,6709.0,6159.0,6192.0,5076.0,8362.0,34947.0,10672.0,969.0,426.0,270.0
2,CAMERA 4_OZ/good/GOOD20230722185355551302.jpg,good,0,0.0470000000022992,3.4144698544694716,5.01778203473208,4.029454349792659,4.984508391288917,0.10985825842188995,0.10482312746352697,0.1080621889469231,0.10494519443260168,0.48755455783439444,0.43470791114618557,0.46960020324438556,0.434626995331876,118.66347560228738,279.29358852195077,199.82335461145712,274.09463256427244,0.9918732649716463,0.9808436651350146,0.9863334000872258,0.9812002547927112,1227.0,1182.0,1090.0,1145.0,1414.0,1699.0,2025.0,1955.0,1707.0,1693.0,2019.0,2403.0,2777.0,2876.0,2480.0,1939.0,2019.0,2964.0,3402.0,3562.0,3557.0,2989.0,2013.0,2335.0,3390.0,6758.0,6301.0,5899.0,5610.0,8528.0,34467.0,10566.0,1056.0,443.0,291.0
3,CAMERA 4_OZ/good/GOOD20230722185410555119.jpg,good,0,0.046999999998661224,3.412860462271816,5.008287177779582,4.017506786997631,4.971268014140296,0.10968137710079082,0.10472545351500605,0.10791886787135903,0.1048206797565812,0.4878801075566928,0.4361597771393216,0.4706305622845079,0.43498976394842526,119.20008316007072,279.667650610869,199.45914838453854,273.86521516536453,0.9918374416771804,0.9808203072901381,0.9863599460306733,0.981218241962365,1203.0,1175.0,1130.0,1188.0,1439.0,1701.0,1926.0,1944.0,1729.0,1743.0,2072.0,2493.0,2691.0,2677.0,2633.0,2030.0,2086.0,2811.0,3475.0,3649.0,3441.0,2913.0,2038.0,2568.0,3392.0,6334.0,6211.0,6371.0,5453.0,8431.0,34453.0,10513.0,1161.0,453.0,337.0
4,CAMERA 4_OZ/good/GOOD20230722185621223438.jpg,good,0,0.06199999999807915,3.375281888222652,5.0408969651252,4.059965270134078,4.982766687652964,0.10828046588001652,0.1035472480694858,0.10685366399686823,0.10368225632251775,0.4913386684261185,0.4387992394421642,0.47367607896478825,0.4385214709210732,121.30041335451821,287.4645743360139,205.61655293855577,280.71014964938746,0.9917245470196057,0.980356174293729,0.9859896186140531,0.9808177363543632,1342.0,1296.0,1195.0,1209.0,1504.0,1721.0,2001.0,1790.0,1676.0,1770.0,2254.0,2504.0,2918.0,3015.0,2536.0,2025.0,2312.0,3039.0,3739.0,3951.0,3627.0,2904.0,2073.0,2477.0,3490.0,6488.0,6007.0,6158.0,5976.0,10082.0,30510.0,9206.0,997.0,474.0,303.0
5,CAMERA 4_OZ/good/GOOD20230722185650056085.jpg,good,0,0.0470000000022992,3.359435000611102,5.026571391477524,4.056259935920267,4.973193441788626,0.10801700461595858,0.10352082281951785,0.10674818991781287,0.10350749067205475,0.4916142865881781,0.43959395441477944,0.4755162864123838,0.4396279716822247,120.74271493211451,291.55526540776214,210.20609729250617,284.76933327786213,0.9917903528250033,0.9801436625834619,0.985724166820515,0.9806058177013697,1317.0,1273.0,1179.0,1274.0,1534.0,1793.0,1908.0,1760.0,1666.0,1795.0,2265.0,2666.0,2759.0,2897.0,2499.0,2007.0,2395.0,3040.0,3724.0,3931.0,3591.0,2886.0,2035.0,2511.0,3751.0,6220.0,5977.0,6110.0,5835.0,10066.0,29942.0,9944.0,972.0,426.0,306.0
6,CAMERA 4_OZ/good/GOOD20230722185704156377.jpg,good,0,0.046999999998661224,3.3634511434507464,5.014531344542293,4.051664343189149,4.965523576691021,0.10847565878405084,0.10390652199508815,0.10716111101322964,0.10397725314648627,0.4917539430489304,0.43948172602577273,0.4744779346789739,0.43907879395624894,118.88023235904322,286.10096246891857,206.45484872939264,279.2369794793062,0.9919082103094359,0.9804938438106249,0.9859637773833286,0.9809618251942668,1320.0,1210.0,1211.0,1238.0,1544.0,1788.0,1931.0,1855.0,1655.0,1790.0,2221.0,2582.0,2785.0,2833.0,2507.0,2125.0,2261.0,2920.0,3564.0,4154.0,3577.0,2927.0,2116.0,2369.0,3642.0,6303.0,5972.0,5954.0,6043.0,10196.0,30353.0,9656.0,922.0,394.0,320.0
7,CAMERA 4_OZ/good/GOOD20230722185731451914.jpg,good,0,0.0470000000022992,3.360452488687395,5.025429852948245,4.069134443710019,4.97032244789064,0.10807100064160056,0.10339912259104175,0.10657373543341832,0.10344011644029232,0.4914350519084862,0.43796691003251725,0.4730248940436436,0.43891567758570516,119.13117035586406,289.0510581278829,209.65539413502157,282.7372918101295,0.9918857508343931,0.9802794758414427,0.9857368045103997,0.9807102328917975,1307.0,1279.0,1129.0,1228.0,1486.0,1854.0,1912.0,1736.0,1603.0,1774.0,2268.0,2663.0,2834.0,2925.0,2453.0,2130.0,2297.0,3043.0,3625.0,3894.0,3648.0,3063.0,1958.0,2484.0,3708.0,6362.0,5883.0,6279.0,6030.0,9986.0,30108.0,9290.0,1179.0,460.0,337.0
8,CAMERA 4_OZ/good/GOOD20230722185745770598.jpg,good,0,0.06299999999828287,3.377304634951332,5.0420458526150815,4.084515860786335,4.992881306940017,0.1080181201571366,0.10352981498167746,0.10665032815742401,0.10346578874349766,0.49109490639441594,0.4381430648731625,0.472836372873655,0.43784594466116233,118.73904121314784,288.8411056756581,210.25336659570576,282.64855801152066,0.9919059559119009,0.9802778330111377,0.9856846221017079,0.980700662230099,1370.0,1293.0,1196.0,1195.0,1532.0,1735.0,1851.0,1831.0,1695.0,1720.0,2236.0,2575.0,2843.0,2886.0,2562.0,1971.0,2248.0,3048.0,3633.0,3847.0,3720.0,3036.0,2059.0,2525.0,3770.0,6046.0,6014.0,6095.0,5930.0,10347.0,30275.0,9451.0,1082.0,437.0,323.0
9,CAMERA 4_OZ/good/GOOD20230722185800800833.jpg,good,0,0.0459999999984575,3.383431576372346,5.004404476987663,4.006442145424495,4.932852548007939,0.10488074549796178,0.10015015115976139,0.10340645760322394,0.10019988520676544,0.4867661555871227,0.4331039317750816,0.46913834515648567,0.43250718169635505,118.88237740001206,286.22551265128874,204.69180913245427,277.65511328427857,0.9918410630204232,0.9803263755295206,0.9859713669169419,0.9809154603142757,1155.0,1211.0,1133.0,1148.0,1499.0,1806.0,2019.0,1985.0,1759.0,1774.0,2215.0,2553.0,2770.0,3049.0,2529.0,2110.0,2237.0,3176.0,3589.0,3575.0,3537.0,2852.0,2098.0,2489.0,3550.0,6614.0,6081.0,6442.0,5941.0,10012.0,31748.0,9082.0,1113.0,476.0,313.0
10,CAMERA 4_OZ/good/GOOD20230722185815380575.jpg,good,0,0.0470000000022992,3.228885899473736,4.851570595340265,3.8643554185919857,4.792465355776313,0.0927447263273327,0.08925056099003015,0.0922266059948782,0.08928310762327396,0.4868740028411493,0.4286126010156129,0.4704737963483247,0.42893648088776953,115.06815213402245,275.23003226198983,195.82435737516946,267.62154568241334,0.992137902703693,0.981167077473523,0.9866344799827726,0.9816876966701888,2103.0,2180.0,1702.0,1838.0,2225.0,2581.0,2747.0,2444.0,2239.0,2237.0,3039.0,3556.0,3846.0,3822.0,2904.0,2205.0,2471.0,3102.0,3362.0,3649.0,3580.0,3090.0,2091.0,2477.0,3086.0,6110.0,7990.0,8766.0,8130.0,8322.0,13492.0,3077.0,566.0,220.0,143.0
