number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135,Histogram 220,Histogram 221,Histogram 222,Histogram 223,Histogram 224,Histogram 225,Histogram 226,Histogram 227,Histogram 228,Histogram 229,Histogram 230,Histogram 231,Histogram 232,Histogram 233,Histogram 234,Histogram 235,Histogram 236,Histogram 237,Histogram 238,Histogram 239,Histogram 240,Histogram 241,Histogram 242,Histogram 243,Histogram 244,Histogram 245,Histogram 246,Histogram 247,Histogram 248,Histogram 249,Histogram 250,Histogram 251,Histogram 252,Histogram 253,Histogram 254
1,CAMERA 4_OZ/good/GOOD20230722185340798425.jpg,good,0,0.0470000000022992,1.4755863956225446,2.177060089144534,1.761431992960893,2.1502518015828134,0.5724594904808681,0.5710165461000526,0.5724927873109492,0.5708774002073128,0.7709954659492916,0.7448882526682532,0.760033444816147,0.7450612744042703,45.039580075610765,104.50569763758503,74.18332817385891,101.810391003834,0.9975592310505806,0.9943393516396268,0.9959802594654983,0.9944853454315536,2066.0,1956.0,1764.0,1903.0,2111.0,2477.0,2582.0,2434.0,2162.0,2098.0,2473.0,2853.0,3217.0,3272.0,2913.0,2382.0,2379.0,3275.0,3936.0,4013.0,4000.0,3382.0,2446.0,2834.0,4040.0,7292.0,6840.0,6869.0,5850.0,10747.0,65310.0,17240.0,1440.0,614.0,396.0
2,CAMERA 4_OZ/good/GOOD20230722185355551302.jpg,good,0,0.046999999998661224,1.465111903832095,2.1684677729042647,1.7582336743999054,2.1439602270096474,0.5728918570356126,0.571454103844031,0.572920707571742,0.5714441659746335,0.7715797764101886,0.7451860609617785,0.7601162581943034,0.745606349864502,44.90796113503233,104.20216361033367,74.36191589544332,101.89964624674278,0.9975661121866419,0.9943552147222559,0.9959701685897376,0.9944799454923888,2050.0,1975.0,1818.0,1837.0,2113.0,2425.0,2646.0,2532.0,2180.0,2062.0,2406.0,2823.0,3192.0,3329.0,2915.0,2310.0,2400.0,3348.0,3810.0,4050.0,4027.0,3456.0,2410.0,2683.0,3860.0,7325.0,6925.0,6582.0,6451.0,10714.0,65148.0,17103.0,1526.0,617.0,422.0
3,CAMERA 4_OZ/good/GOOD20230722185410555119.jpg,good,0,0.030999999999039574,1.4658351250986998,2.1655465973573236,1.7535421011465007,2.1400721203439512,0.5725125698616639,0.5710522520197675,0.5725995154659695,0.570994896691693,0.7714803314487528,0.7455292641744321,0.760532028810009,0.7456047645165631,45.00615796849589,104.22710244337826,74.15578564909268,101.7803688524681,0.9975604720848437,0.9943531229079914,0.9959808115018265,0.9944856834756495,2050.0,1940.0,1876.0,1948.0,2153.0,2412.0,2533.0,2427.0,2148.0,2129.0,2468.0,2889.0,3155.0,3148.0,3059.0,2413.0,2448.0,3204.0,3897.0,4142.0,3895.0,3346.0,2463.0,2966.0,3843.0,6898.0,6827.0,7049.0,6274.0,10697.0,64949.0,17132.0,1597.0,647.0,465.0
4,CAMERA 4_OZ/good/GOOD20230722185621223438.jpg,good,0,0.0470000000022992,1.4579505473035308,2.183466619272282,1.7761462135031325,2.1514078794297347,0.5722850633091114,0.5708926903216626,0.572452848676176,0.5709195525291212,0.7715300489652878,0.7450639893090477,0.7601667896668663,0.7455639197849878,45.73949374514498,106.66532932325102,76.23219418011452,104.15472773066638,0.9975275176458116,0.9942368614803887,0.9958796099595697,0.9943725095380761,2256.0,2175.0,1907.0,1940.0,2275.0,2470.0,2635.0,2295.0,2072.0,2158.0,2661.0,2945.0,3343.0,3498.0,2973.0,2420.0,2707.0,3463.0,4199.0,4440.0,4130.0,3354.0,2460.0,2879.0,3954.0,7069.0,6683.0,6845.0,6799.0,12401.0,61123.0,15763.0,1447.0,654.0,426.0
5,CAMERA 4_OZ/good/GOOD20230722185650056085.jpg,good,0,0.046999999998661224,1.4532292481114493,2.182471968374387,1.7758276850881,2.1511176370365828,0.572541100446943,0.5712175941851722,0.572629973887062,0.5711127065432716,0.7712570593671932,0.744852045546322,0.7604101922704909,0.7455583442762596,45.479130016970736,108.09495573400501,77.78078890769355,105.49605360031512,0.9975410105328187,0.9941582245109596,0.9957949033402631,0.9942986769740823,2209.0,2112.0,1957.0,2058.0,2265.0,2520.0,2613.0,2317.0,2079.0,2188.0,2652.0,3106.0,3230.0,3374.0,2914.0,2409.0,2782.0,3488.0,4153.0,4404.0,4083.0,3370.0,2450.0,2888.0,4225.0,6824.0,6596.0,6775.0,6673.0,12334.0,60680.0,16546.0,1420.0,604.0,429.0
6,CAMERA 4_OZ/good/GOOD20230722185704156377.jpg,good,0,0.030999999999039574,1.4551228173061177,2.1789678621782316,1.7758627150672541,2.1487614558111687,0.5722630173775596,0.5708642021782826,0.5723538218351992,0.5708833375703132,0.7713925897915838,0.7448341420050213,0.7600467443011925,0.7453744645872312,44.88028244725457,106.32963953692877,76.65413598146938,103.72046640978566,0.9975743299770279,0.9942558574104827,0.9958574232442171,0.9943968102299309,2279.0,2036.0,1947.0,1999.0,2307.0,2545.0,2545.0,2358.0,2098.0,2196.0,2618.0,3000.0,3262.0,3327.0,2922.0,2505.0,2652.0,3326.0,4016.0,4709.0,4080.0,3389.0,2526.0,2728.0,4127.0,6880.0,6603.0,6582.0,6879.0,12440.0,60981.0,16414.0,1404.0,556.0,449.0
7,CAMERA 4_OZ/good/GOOD20230722185731451914.jpg,good,0,0.0470000000022992,1.4559111936417948,2.184638187584004,1.7837949687168864,2.1531534102268117,0.5724408468658937,0.5710185183746068,0.5725087919161894,0.5709710888213976,0.7712886876330864,0.7442967256333396,0.7595071802847845,0.7452266513257165,45.06699407091891,107.43361316726704,77.73443854273147,104.98074209114283,0.9975642143207959,0.9941961601382804,0.9957989995122305,0.9943286705370986,2218.0,2128.0,1965.0,1953.0,2256.0,2549.0,2557.0,2267.0,2060.0,2141.0,2678.0,3090.0,3295.0,3390.0,2885.0,2527.0,2703.0,3463.0,4086.0,4386.0,4139.0,3570.0,2364.0,2907.0,4147.0,6927.0,6489.0,6965.0,6959.0,12203.0,60710.0,16001.0,1614.0,655.0,482.0
8,CAMERA 4_OZ/good/GOOD20230722185745770598.jpg,good,0,0.046999999998661224,1.4590679567379712,2.1866454257075154,1.7851912799786185,2.157449975990761,0.5720982617579686,0.5706676597208911,0.5721394739352131,0.5706441742772185,0.7712502835302151,0.7443618025002492,0.759544390277184,0.744914414924079,44.896321996380934,107.23933828000133,77.84870959330415,104.86205904154309,0.9975747024740901,0.9942096722550485,0.9957950158417613,0.994338032110246,2301.0,2114.0,1983.0,1940.0,2336.0,2519.0,2485.0,2377.0,2161.0,2098.0,2639.0,3016.0,3304.0,3352.0,2982.0,2325.0,2620.0,3533.0,4114.0,4349.0,4207.0,3507.0,2466.0,2907.0,4211.0,6614.0,6686.0,6755.0,6795.0,12399.0,61140.0,16174.0,1523.0,609.0,459.0
9,CAMERA 4_OZ/good/GOOD20230722185800800833.jpg,good,0,0.030999999999039574,1.4542847602303088,2.1625593835130963,1.7497670099056382,2.127117200042384,0.5721519502140505,0.570771263931418,0.5722614931425744,0.5707237599311588,0.7711333646379094,0.744487676610351,0.759969401491015,0.7447830778161716,44.988632883794516,106.5719658460159,76.09019160581762,103.27196364473832,0.9975681262044098,0.9942419581339852,0.9958873122811698,0.9944202559694607,1996.0,1984.0,1865.0,1809.0,2181.0,2525.0,2702.0,2565.0,2244.0,2242.0,2633.0,3008.0,3261.0,3467.0,2987.0,2484.0,2598.0,3599.0,4072.0,4051.0,4065.0,3349.0,2516.0,2880.0,4040.0,7235.0,6701.0,7157.0,6772.0,12044.0,62013.0,15898.0,1563.0,653.0,425.0
10,CAMERA 4_OZ/good/GOOD20230722185815380575.jpg,good,0,0.0470000000022992,1.393646566328763,2.1104951160204792,1.700553962460405,2.077249317401379,0.5728337247594194,0.5714958084183293,0.5730130529543278,0.5714999631273755,0.7705180287846956,0.74093416681397,0.7585888802013697,0.7417519398091947,43.248199276808315,102.28363285646053,72.67339025024032,99.28972713142795,0.9975618612617513,0.9942365343124205,0.9959034213298934,0.9944052345476007,2769.0,2712.0,2175.0,2263.0,2650.0,3020.0,3228.0,2894.0,2688.0,2640.0,3468.0,4015.0,4346.0,4339.0,3399.0,2657.0,2865.0,3587.0,3941.0,4251.0,4198.0,3666.0,2555.0,2882.0,3600.0,6698.0,8713.0,9407.0,9049.0,10070.0,38269.0,11873.0,1006.0,395.0,241.0
