number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135,Histogram 220,Histogram 221,Histogram 222,Histogram 223,Histogram 224,Histogram 225,Histogram 226,Histogram 227,Histogram 228,Histogram 229,Histogram 230,Histogram 231,Histogram 232,Histogram 233,Histogram 234,Histogram 235,Histogram 236,Histogram 237,Histogram 238,Histogram 239,Histogram 240,Histogram 241,Histogram 242,Histogram 243,Histogram 244,Histogram 245,Histogram 246,Histogram 247,Histogram 248,Histogram 249,Histogram 250,Histogram 251,Histogram 252,Histogram 253,Histogram 254
1,CAMERA 4_OZ/good/GOOD20230722185340798425.jpg,good,0,0.0470000000022992,4.108956796628003,7.813430996231706,6.363005375087429,7.627613245530296,0.20750950121998796,0.193817283665597,0.20106890706555838,0.1935569777705128,0.6433582482983149,0.5821404913827462,0.6151448856433506,0.5835672605978979,355.1852476290702,988.6937117770327,739.0500584248562,960.2106560551822,0.9459740589954063,0.8497078249150829,0.8873451304716843,0.854034113781557,451.0,494.0,450.0,548.0,690.0,961.0,1124.0,1096.0,1013.0,894.0,1118.0,1272.0,1496.0,1541.0,1312.0,1010.0,953.0,1396.0,1801.0,1964.0,1795.0,1530.0,1145.0,1231.0,1943.0,2991.0,3043.0,2960.0,2346.0,3655.0,18469.0,7034.0,615.0,321.0,214.0
2,CAMERA 4_OZ/good/GOOD20230722185355551302.jpg,good,0,0.06299999999828287,4.070823088631249,7.796703877169791,6.363379294227442,7.637027385521642,0.20749593021322393,0.19286143424555588,0.2003051087066587,0.19322415844978452,0.6509809928521416,0.5865729949343135,0.618532735089553,0.5889849725011356,360.5027163095503,994.1512248946128,743.0282776349552,970.2021575048662,0.9447252460259435,0.8476865203698941,0.8858001023050884,0.8513529642539122,449.0,447.0,423.0,504.0,662.0,898.0,1123.0,1129.0,1004.0,927.0,1091.0,1280.0,1463.0,1496.0,1332.0,1025.0,972.0,1471.0,1748.0,1946.0,1786.0,1651.0,1141.0,1199.0,1799.0,3075.0,3135.0,2777.0,2709.0,3760.0,18500.0,7280.0,711.0,343.0,229.0
3,CAMERA 4_OZ/good/GOOD20230722185410555119.jpg,good,0,0.0470000000022992,4.060906217070586,7.763296592362713,6.333395653189809,7.588043337910991,0.20698251518912533,0.19221464601122373,0.19938883697895035,0.192991572982354,0.646403652510912,0.5822019270664186,0.6149445820896552,0.5867522503324312,359.15494672753647,990.6285992651476,740.4882215470855,964.8372832810563,0.9450205912506375,0.8484614748936656,0.8863727767018255,0.8524033108756771,454.0,437.0,446.0,565.0,692.0,921.0,1065.0,1083.0,1015.0,976.0,1089.0,1352.0,1437.0,1422.0,1346.0,1047.0,973.0,1403.0,1859.0,1977.0,1786.0,1512.0,1169.0,1326.0,1797.0,2898.0,2956.0,3198.0,2494.0,3623.0,18506.0,7152.0,793.0,338.0,277.0
4,CAMERA 4_OZ/good/GOOD20230722185621223438.jpg,good,0,0.06199999999807915,4.131202435311999,7.839302273714142,6.328020565552505,7.691915812702936,0.2135811200491662,0.19920537572478628,0.20678757833603947,0.19987530493878608,0.6539598613767836,0.5945466540005633,0.628184680249528,0.5960714094923264,379.7974476056552,1026.258149334989,757.6923813975153,1000.0308248523568,0.9426130973528591,0.845135250190972,0.8852600651341502,0.8490865567725712,476.0,523.0,523.0,521.0,705.0,819.0,1035.0,918.0,931.0,930.0,1138.0,1307.0,1506.0,1533.0,1388.0,982.0,1037.0,1498.0,1881.0,2075.0,2001.0,1629.0,1234.0,1218.0,1879.0,2902.0,2930.0,3136.0,2352.0,3683.0,18954.0,7177.0,685.0,382.0,256.0
5,CAMERA 4_OZ/good/GOOD20230722185650056085.jpg,good,0,0.0470000000022992,4.1174803887132425,7.84953809674706,6.37069408740336,7.70205772910256,0.2064321484522806,0.19231699392291163,0.2005659646110549,0.19315718432616968,0.6570179479664574,0.5930678266513201,0.6257532656476685,0.5966080735714457,382.6950708347862,1050.6403258559853,779.9797148866464,1024.0805249380512,0.9423563391977653,0.8419762296637766,0.882250966429089,0.8459649411580717,476.0,490.0,481.0,553.0,728.0,868.0,974.0,959.0,863.0,960.0,1171.0,1377.0,1454.0,1488.0,1302.0,998.0,1089.0,1481.0,1954.0,2157.0,1978.0,1574.0,1185.0,1413.0,1930.0,2877.0,2973.0,3069.0,2466.0,3694.0,18291.0,7886.0,684.0,326.0,250.0
6,CAMERA 4_OZ/good/GOOD20230722185704156377.jpg,good,0,0.06299999999828287,4.081219997658273,7.818173281214875,6.350432344005397,7.688664295523882,0.2106776184821329,0.19654406012479989,0.2046245534617272,0.19673189383545145,0.6595687956410969,0.5957958123389169,0.6263242638963483,0.596551004435701,373.8457674745227,1029.5475813172454,766.0886655760595,1002.42416452439,0.9433239697201944,0.844145130133385,0.8836028313958377,0.8482449776485681,478.0,486.0,486.0,572.0,726.0,858.0,990.0,954.0,865.0,904.0,1188.0,1352.0,1449.0,1465.0,1279.0,1082.0,1008.0,1462.0,1874.0,2273.0,1917.0,1656.0,1243.0,1228.0,1857.0,2979.0,2932.0,3023.0,2525.0,3589.0,18722.0,7650.0,650.0,311.0,261.0
7,CAMERA 4_OZ/good/GOOD20230722185731451914.jpg,good,0,0.0459999999984575,4.108675799086725,7.84004178845156,6.3793877074080525,7.712657440339652,0.2069436683382933,0.19329550245935723,0.20021594397367115,0.19308992972080158,0.656361518777807,0.5921688306090621,0.6229098781751692,0.5945985784517107,380.5471256293072,1047.1338639057826,779.7673288151337,1022.7515934781551,0.9427656921627995,0.8427505863778854,0.882465219765517,0.846405853556025,479.0,484.0,475.0,553.0,643.0,901.0,999.0,921.0,828.0,932.0,1199.0,1363.0,1529.0,1564.0,1269.0,1016.0,1039.0,1490.0,1920.0,2177.0,1970.0,1705.0,1139.0,1321.0,1905.0,3046.0,2878.0,3125.0,2517.0,3799.0,18481.0,7279.0,851.0,369.0,279.0
8,CAMERA 4_OZ/good/GOOD20230722185745770598.jpg,good,0,0.06300000000192085,4.107949888771721,7.870174079421235,6.388957700397104,7.738704792759561,0.20485711962666903,0.1913800347177633,0.1990116843843237,0.19149485317616044,0.6534823165735245,0.590640209197879,0.6211849253495054,0.5914674871891237,375.73473832102906,1044.719442194564,780.6073732180312,1019.4108767357757,0.9434175750301466,0.8429061725719342,0.8821837144693189,0.846705640513451,505.0,505.0,484.0,505.0,688.0,859.0,943.0,965.0,941.0,902.0,1147.0,1354.0,1482.0,1521.0,1295.0,1004.0,1046.0,1447.0,1954.0,2144.0,1928.0,1723.0,1186.0,1323.0,2010.0,2822.0,3008.0,3023.0,2627.0,3864.0,18370.0,7448.0,808.0,355.0,285.0
9,CAMERA 4_OZ/good/GOOD20230722185800800833.jpg,good,0,0.046999999998661224,4.164641142723282,7.8942259158828705,6.403458752044665,7.698090173844371,0.1917870878275951,0.17805026501193902,0.18542771062205476,0.1783693539491412,0.6305912749887249,0.5683487409948522,0.6042126273338697,0.5699095298155586,357.47781290245985,1021.3364439905282,769.3437251694214,990.2613891138415,0.9433900002498333,0.8383959711166212,0.8779091298173429,0.84330699446882,457.0,518.0,506.0,558.0,767.0,1002.0,1159.0,1210.0,1022.0,955.0,1116.0,1321.0,1465.0,1555.0,1308.0,1081.0,1080.0,1511.0,1866.0,1807.0,1789.0,1493.0,1189.0,1328.0,1858.0,2696.0,2971.0,3183.0,2553.0,3862.0,17161.0,7073.0,780.0,352.0,246.0
10,CAMERA 4_OZ/good/GOOD20230722185815380575.jpg,good,0,0.062000000001717126,4.151926003980713,7.897935227899434,6.403844356157756,7.734115106055535,0.1391713642952689,0.12821450977935173,0.13359315662157514,0.12849256838593417,0.6155950411112158,0.5430838614511636,0.5811311851687009,0.5463339808767245,368.23458611402407,999.9595145026741,738.676875438177,970.6913993261875,0.9418245533946603,0.8421838165728197,0.8830061791345526,0.8467972036411666,1208.0,1294.0,945.0,941.0,1196.0,1401.0,1464.0,1256.0,1174.0,1127.0,1474.0,1887.0,2026.0,1883.0,1536.0,1215.0,1295.0,1615.0,1731.0,1799.0,1728.0,1522.0,1093.0,1235.0,1548.0,2313.0,2968.0,3672.0,3940.0,4551.0,11442.0,2266.0,282.0,116.0,76.0
