number,Filename,category,class,duration,Histogram 245,Histogram 246,Histogram 247,Histogram 248,Histogram 249,Histogram 250,Histogram 251,Histogram 252,Histogram 253,Histogram 254
1,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,0
2,CAMERA 4_OZ/good_cropped_png/OZ_Cropped10.png,good,0,0.0,0,0,0,0,0,0,0,0,0,0
3,CAMERA 4_OZ/good_cropped_png/OZ_Cropped100.png,good,0,0.01600000000325963,0,0,0,0,0,0,0,0,0,0
4,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1000.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
5,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1001.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,0
6,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1002.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
7,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1003.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
8,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1004.png,good,0,0.0,0,0,0,0,0,0,0,0,0,0
9,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1005.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,0
10,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1006.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
11,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1007.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,0
12,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1008.png,good,0,0.01600000000325963,0,0,0,0,0,0,0,0,0,0
13,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1009.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
14,CAMERA 4_OZ/good_cropped_png/OZ_Cropped101.png,good,0,0.0,0,0,0,0,0,0,0,0,0,0
15,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1010.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,0
16,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1011.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
17,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1012.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
18,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1013.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,0
19,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1014.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,0
20,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1015.png,good,0,0.0,0,0,0,0,0,0,0,0,0,0
21,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1016.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,0
22,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1017.png,good,0,0.01600000000325963,0,0,0,0,0,0,0,0,0,0
