number,Filename,category,class,duration,Histogram 245,Histogram 246,Histogram 247,Histogram 248,Histogram 249,Histogram 250,Histogram 251,Histogram 252,Histogram 253,Histogram 254
1,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79926
2,CAMERA 4_OZ/good_cropped_png/OZ_Cropped10.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79789
3,CAMERA 4_OZ/good_cropped_png/OZ_Cropped100.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79767
4,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1000.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,79548
5,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1001.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79526
6,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1002.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79454
7,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1003.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79478
8,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1004.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79543
9,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1005.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,79545
10,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1006.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79398
11,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1007.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79555
12,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1008.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79258
13,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1009.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79326
14,CAMERA 4_OZ/good_cropped_png/OZ_Cropped101.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,79767
15,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1010.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79558
16,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1011.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79433
17,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1012.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79528
18,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1013.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79394
19,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1014.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,79943
20,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1015.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79400
21,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1016.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79870
22,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1017.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79434
23,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1018.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79559
24,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1019.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,79565
25,CAMERA 4_OZ/good_cropped_png/OZ_Cropped102.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79780
26,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1020.png,good,0,0.0,0,0,0,0,0,0,0,0,0,80074
27,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1021.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79349
28,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1022.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79687
29,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1023.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79371
30,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1024.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,79376
31,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1025.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79476
32,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1026.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79477
33,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1027.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79341
34,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1028.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79337
35,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1029.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79730
36,CAMERA 4_OZ/good_cropped_png/OZ_Cropped103.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79787
37,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1030.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79421
38,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1031.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79643
39,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1032.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79614
40,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1033.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,79515
41,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1034.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79520
42,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1035.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79425
43,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1036.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79558
44,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1037.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79349
45,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1038.png,good,0,0.014999999999417923,0,0,0,0,0,0,0,0,0,79562
46,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1039.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79306
47,CAMERA 4_OZ/good_cropped_png/OZ_Cropped104.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79761
48,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1040.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79579
49,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1041.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79392
50,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1042.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,79249
51,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1043.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79635
52,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1044.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79426
53,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1045.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79497
54,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1046.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79431
55,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1047.png,good,0,0.01599999999962165,0,0,0,0,0,0,0,0,0,79395
56,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1048.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79422
57,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1049.png,good,0,0.0,0,0,0,0,0,0,0,0,0,79467
